school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
CATHOLIC HIGH SCHOOL,http://www.catholichigh.moe.edu.sg,9 BISHAN STREET 22   ,579767,64582177 (Secondary),64589869 (Primary),64561322 (Secondary),64593938 (Primary),CHS@MOE.EDU.SG,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",MADAM TEO YVONNE,MR TAN CHER HUI PHILIP,MADAM WONG WAI SEE KELLIE,MISS LOW PEI LIN BEVERLY,MR FONG KOK WAI,na,na,BISHAN,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVEL (P1-S4),Yes,Yes,Yes,Yes,CHINESE,na,na
CATHOLIC JUNIOR COLLEGE,https://cjc.moe.edu.sg/,129 WHITLEY ROAD   ,297822,62524083,na,62537267,na,CATHOLIC_JC@MOE.EDU.SG,"Toa Payoh (NS Line), Novena (NS Line), Stevens (DT Line), Caldecott (CC Line,TE Line)","105, 132, 151, 153, 154, 156, 186, 966, 985",MRS WOO SOO MIN,MADAM KAM WAI CHIN,MR TAN JEK SUAN,na,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,MALAY,TAMIL
CEDAR GIRLS' SECONDARY SCHOOL,http://www.cedargirlssec.moe.edu.sg,1 CEDAR AVENUE   ,349692,62884909,na,62820244,na,CEDARGIRLSSS@MOE.EDU.SG,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 13, 61, 64, 65, 66, 90, 100, 107, 133, 135, 142, 147, 151, 154, 155, 853",MADAM THONG MAY TENG,MADAM TAN GEOK LAN,MISS ONG SHU HUI,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,Yes,No,Yes,CHINESE,MALAY,TAMIL
CEDAR PRIMARY SCHOOL,Http://www.cedarpri.moe.edu.sg,15 CEDAR AVENUE   ,349700,62885633,na,62830113,na,CEDAR_PS@MOE.EDU.SG,Potong Pasir MRT Station,"8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155",MR CHRIS CHUA,MS CHOONG PEI CHIN,MR NG CHU SIU,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHANGKAT CHANGI SECONDARY SCHOOL,http://www.changkatchangisec.moe.edu.sg,23 SIMEI ST 3   ,529894,67859790,na,67868481,na,CHANGKATCHGI@MOE.EDU.SG,SIMEI MRT,"5, 9, 20, 38",MR HO MING DA,MS SUBASHINI D/O SIVARAM,na,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHANGKAT PRIMARY SCHOOL,http://www.changkatpri.moe.edu.sg/,11 SIMEI ST 3   ,529896,67830923,na,67844740,na,CHANGKAT_PS@MOE.EDU.SG,Simei MRT Station,"9,38,5",MADAM CHENG HUEY TENG,MRS LEE LI THENG,MADAM SITI NAZRAH BTE ABDUL RAHMAN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ (KATONG) PRIMARY,http://chijkcp.moe.edu.sg/,17 MARTIA ROAD   ,424821,63443072,na,63459007,na,CHIJKTPS@MOE.EDU.SG,MARINE PARADE; EUNOS; PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",MADAM MISCHA LEIGH PEREIRA,MADAM TAN POH KUAN JOYCELYN,MISS SHARON NG YE CHIN,MR ONG HENG KIONG (KONG QINGQIANG),na,na,na,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
VALOUR PRIMARY SCHOOL,valourpri.moe.edu.sg,49 Punggol Central   ,828728,62426390,na,na,na,valour_ps@moe.edu.sg,na,na,MRS CHARIS WONG,MADAM TAN PIN PIN,MR LEE WEI TE,MR BOH HONG JIK,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ (KELLOCK),http://www.chijkellock.moe.edu.sg/,1 Bukit Teresa Road   ,99757,62730096,na,62731710,na,CHIJKS@MOE.EDU.SG,Outram Park Station,"61, 124, 143, 166",MRS SHANTHI SURAJ NAIR,"MS NG CHIOU HIEN, HELEN MRS HELEN TAN",MADAM YUE  SHARON,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ KATONG CONVENT,http://www.chijkatongconvent.moe.edu.sg,346 MARINE TERRACE   ,449150,64486433,na,64494405,na,CHIJKTCS@MOE.EDU.SG,"BEDOK MRT, KEMBANGAN MRT, EUNOS MRT, PAYA LEBAR MRT, MARINE TERRACE MRT","4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",MISS CHEN MEI CHUEN,MISS CHIA SIEW HUI,MISS LIM AI HUI ANNIE,na,na,na,na,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
CHIJ OUR LADY OF GOOD COUNSEL,http://www.chijourladyofgoodcounsel.moe.edu.sg,2C Burghley Drive   ,558979,62886930,na,62814132,na,CHIJOLGCS@MOE.EDU.SG,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",MISS TAN LEE YIN GRACE,MISS LIAT MEI KUEN GERALDINE SHARON,MRS WONG- LIM ENG LING ANGELINA,na,na,na,na,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ OUR LADY OF THE NATIVITY,http://www.chijourladyofthenativity.moe.edu.sg/,1257 UPPER SERANGOON ROAD   ,534793,63852455,na,63852012,na,CHIJPS@MOE.EDU.SG,Hougang MRT,"74, 102, 112, 113, 119, 136, 147, 324, 672",MS ALBUQUERQUE KAREN ANNE,MADAM LOH AH LAH CATHERINE MICHELLE,MADAM WONG YEN LING,na,na,na,na,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ OUR LADY QUEEN OF PEACE,http://www.chijourladyqueenofpeace.moe.edu.sg/,4 Chestnut Drive   ,679287,67691529,na,67653551,na,CHIJBTS@MOE.EDU.SG,Cashew and Hillview,"180, 67, 171, 176, 177, 178, 184, 961, 963, 970",MS PHAM HONG LIEN PHYLLIS G.,MADAM ADELINE CHONG NGOR YIM,MADAM SNG POH GEOK,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ PRIMARY (TOA PAYOH),http://www.chijpritoapayoh.moe.edu.sg,628 Lorong 1 Toa Payoh   ,319765,63532164,na,63536362,na,CHIJTPPS@MOE.EDU.SG,Toa Payoh,"59, 231, 141",MADAM CHUA SOOK LIAN JUDINA,MRS SNG CHARMAINE,MRS MELISSA YAP,MADAM YVONNE LIM BUAY HUANG (LIN MEIFANG),na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ SECONDARY (TOA PAYOH),http://www.chijsec.edu.sg,626 LORONG 1 TOA PAYOH   ,319764,63534972,na,63544573,na,CHIJTPSS@MOE.EDU.SG,TOA PAYOH MRT,"59, 141, 231",MADAM RACHEL ANG LAY KOON,MADAM CHRIS KOH,MADAM LIM LAY HOON,MISS KESAVAN PAULA ANNE,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
CHIJ ST. JOSEPH'S CONVENT,http://www.chijstjosephsconvent.moe.edu.sg,62 SENGKANG EAST WAY   ,548595,64897580,na,64897589,na,CHIJSJCS@MOE.EDU.SG,SENGKANG MRT,"50, 82, 86, 88, 119, 136",MRS VALERIE PINTO,MISS HO WEI LING,MISS TAN LAI YEE MICHELLE,na,na,na,na,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ ST. NICHOLAS GIRLS' SCHOOL,http://www.chijstnicholasgirls.moe.edu.sg,501 ANG MO KIO STREET 13   ,569405,63541839 (Secondary),64549698 (Primary),64511335 (Secondary),64566169 (Primary),CHIJSNG@MOE.EDU.SG,"ANG MO KIO MRT, YIO CHU KANG MRT, MAYFLOWER MRT","76, 265, 268, 269",MISS TAN SIN WEI WINNIE,MADAM LOW CHIA YEE,MR NG WAI KIT KELVIN,MISS YEO TECK WOON,MADAM TAN LIH LIN (CHEN LILIN),MR LIM KAY WAH BENEDICT,MR THAM WAI KONG,ANG MO KIO,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,MIXED LEVEL (P1-S4),Yes,Yes,No,Yes,CHINESE,na,na
CHIJ ST. THERESA'S CONVENT,http://www.chijsttheresasconvent.moe.edu.sg,160 LOWER DELTA ROAD   ,99138,64775777,na,64775700,na,CHIJSTCS@MOE.EDU.SG,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",MADAM TAN MEI MEI JENNY,MISS WEE MEI YEN JANICE,MR YEO NGEE YANG,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHONGFU SCHOOL,http://www.chongfu.moe.edu.sg/,170 YISHUN AVENUE 6   ,768959,67585527,na,62579571,na,CFPS@MOE.EDU.SG,Yishun MRT station,Feeder Service 811,MR TAN KING MING,MISS LIM HWEE MIEN ANGELYNNA,MR SOON WOO SIN,na,na,na,na,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHONGZHENG PRIMARY SCHOOL,http://www.chongzhengpri.moe.edu.sg,1 TAMPINES STREET 21   ,529392,67819002,na,67845054,na,CZPS@MOE.EDU.SG,Tampines MRT Station; Tampines East MRT Station,"3,3A, 8, 17, 18, 20, 28, 34, 39, 59, 518",MR LIM WEE JAMES,MADAM RANJIT KAUR D/O MUKHTAR SINGH,MISS SHERRY OH SWEE LYN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHRIST CHURCH SECONDARY SCHOOL,http://www.christchurchsec.moe.edu.sg,20 WOODLANDS DRIVE 17   ,737924,68933297,na,68932789,na,CCSS@MOE.EDU.SG,"WOODLANDS MRT, WOODLANDS SOUTH MRT","901, 901M, 665",MR TAY JUNCHENG ADRIAN,MADAM HENG EU LIN,MR ONG KAH HUI VICTOR,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHUA CHU KANG PRIMARY SCHOOL,http://www.chuachukangpri.moe.edu.sg,20 CHOA CHU KANG AVENUE 2   ,689905,67661574,na,67661583,na,CCKPS@MOE.EDU.SG,Choa Chu Kang MRT Station and Southview LRT Station,"Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2; Bus Service 172, 301, 991 along Chua Chu Kang Ave 1",MADAM KUEK YEN YEN SHEREE,MADAM CHEW BOON HWEE,MS LIM CHWEE ENG MRS ONG PI HOCK,MADAM PUSPHAALATHA D/O AYAVOO,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHUA CHU KANG SECONDARY SCHOOL,http://www.chuachukangsec.moe.edu.sg,31 TECK WHYE CRESCENT   ,688848,67655228,67664425,67636807,na,CCKSS@MOE.EDU.SG,"CHOA CHU KANG MRT, PHOENIX LRT","190, 190A, 307, 975, 982E, 985",MR CHENG GHEE HOCK TIMOTHY,MADAM HARTATI BTE OSMAN,MADAM LEE EE LEI JANE,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHUNG CHENG HIGH SCHOOL (MAIN),http://www.chungchenghighmain.moe.edu.sg,50 GOODMAN ROAD   ,439012,63441393,na,63449686,na,CCHMS@MOE.EDU.SG,DAKOTA MRT,"10, 12, 14, 14A, 14E 16, 16M, 30, 31, 32, 33, 40, 43, 43E 135, 134, 196, 196A 197, 401, 853M",MR YAO ZHIXUAN TERENCE,MR CHONG TENG YUAN,MADAM NG BEE LING,MADAM ONG LEE FONG,na,na,na,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),Yes,Yes,No,No,CHINESE,na,na
CHUNG CHENG HIGH SCHOOL (YISHUN),http://www.chungchenghighyishun.moe.edu.sg,11 YISHUN STREET 61   ,768547,67583912,na,67587397,na,CCHBS@MOE.EDU.SG,KHATIB MRT,"Yishun Street 61 (opposite school) - 812; Yishun Ave 2 - 39, 85, 117, 851, 852, 853, 854, 855, 857, 858, 860, 965, 969",MR CHIA GUO HAO,MR WOO LEE YEN,MR CHEONG WING FOOK MELVIN,na,na,na,na,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CLEMENTI PRIMARY SCHOOL,http://www.clementipri.moe.edu.sg,8 CLEMENTI AVE 3   ,129903,67797449,na,67732898,na,CLEMENTI_PS@MOE.EDU.SG,Clementi MRT Station,We are just beside Clementi Bus Interchange.,MR VIMALENTHIRAN S/O VIJAYASINGAM,MADAM KHOO HENG OI CATHERINE,MADAM LEE SWEE MEI CHERYL,MADAM LOW TAN YING,MS TUNG AI JUI,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CLEMENTI TOWN SECONDARY SCHOOL,http://www.clementitownsec.moe.edu.sg,10 CLEMENTI AVE 3   ,129904,67777362,na,67789543,na,CTSS@MOE.EDU.SG,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",MADAM RASIDAH BTE RAHIM,MISS HUANG KEXIN,MR NG PING HWEE,na,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
COMMONWEALTH SECONDARY SCHOOL,http://www.commonwealthsec.moe.edu.sg,698 WEST COAST ROAD   ,608784,65606866,na,65645204,na,CWSS@MOE.EDU.SG,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",MR ANG KAY YONG JEREMY,MRS CLAIRE TAN SHI YING,MR DANIEL ONG POH SOON,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
COMPASSVALE PRIMARY SCHOOL,https://www.compassvalepri.moe.edu.sg,21 COMPASSVALE ST   ,545091,63882819,na,63882798,na,CVPS@MOE.EDU.SG,Sengkang,"83 (along Compassvale Street); 27, 89, 89E & 965 (along Compassvale Road).",MR VINCENT LEE WEI YEE,MRS MARIA KOH,MR CHIN WENG KIT KELVIN,MR KHOU BENG CHEW,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
COMPASSVALE SECONDARY SCHOOL,http://www.compassvalesec.moe.edu.sg,51 COMPASSVALE CRESCENT   ,545083,68815047,na,68815998,na,CVSS@MOE.EDU.SG,"SENGKANG MRT, COMPASSVALE LRT","27, 27A, 82,  83,  86,  88,  89, 89E, 136, 161, 371, 965",MR CHUA TUNG KIAN,MADAM LEE WUI LIN JACQUELINE,MR SUKHDEV SINGH S/O GURDEEP SINGH,na,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CONCORD PRIMARY SCHOOL,http://www.concordpri.moe.edu.sg/,3 CHOA CHU KANG AVE 4   ,689814,67632139,na,67632452,na,CONCORD_PS@MOE.EDU.SG,Choa Chu Kang MRT Station,Bus 300 and 983,MDM CHUA LENG YIN,MADAM GOH PUAY HOON JENNY,MADAM SALBIAH BTE ABAS,MR LEE ENG LOO,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CORPORATION PRIMARY SCHOOL,http://www.corporationpri.moe.edu.sg,31 JURONG WEST STREET 24   ,648347,67957381,na,67957098,na,CPS@MOE.EDU.SG,BOON LAY STATION; LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",MR MUHAMMAD FADYLLA B RASHIMAN,MDM GOH MUI EE,MADAM NG SEOW WEI JOSEPHINE,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CRESCENT GIRLS' SCHOOL,http://www.crescent.edu.sg,357 TANGLIN ROAD   ,247961,64758711,na,64741248,na,CRESCENTGIRL@MOE.EDU.SG,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",MISS LOW SHIOK CHENG CINDY,MRS TAY PO LIN,MISS USHA JEYARAJAH,MR LIM HAN CHEE,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,Yes,No,No,CHINESE,MALAY,TAMIL
CREST SECONDARY SCHOOL,http://www.crestsec.edu.sg,561 JURONG EAST STREET 24   ,609561,68992779,na,68992668,na,info@crestsec.edu.sg,"BUKIT BATOK MRT, JURONG EAST MRT","41, 52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502, 868, 990",MR KWOK CHIN POH BENJAMIN,MR TEH TUAN ANN,MADAM LEE KEE MENG,MR OTHMAN ARSAN BIN MOHD ABUBAKAR,na,na,na,JURONG EAST,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,No,No,No,CHINESE,MALAY,TAMIL
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,52 BEDOK RESERVOIR CRESCENT   ,479226,64456483,na,64499681,na,DAMAI_PS@MOE.EDU.SG,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",MRS LEONG- TAN LING LING JENNY,MADAM LIM PECK CHIN YENLYN,MR MOHAMED JURAIMI BIN ABDUL MUHIN,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
DAMAI SECONDARY SCHOOL,http://www.damaisec.moe.edu.sg,4800 BEDOK RESERVOIR ROAD   ,479229,64436848,na,64425629,na,DAMAI_SS@MOE.EDU.SG,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",MADAM CHAN WAN SIONG,MR NG CHENG KEONG,MADAM PREMLATHA D/O SELVARAJ,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35 BUKIT BATOK STREET 31   ,659441,65658002,na,65636421,na,DAZHONG_PS@MOE.EDU.SG,Bukit Gombak,"187, 188",MR CHRIS LOH KAI MUN,MR KOH KAH HOCK,MRS LIM SEOW KHIM MRS BOEY- LIM SEOW KHIM,MISS TAN HUI YAH,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
DE LA SALLE SCHOOL,http://www.delasalle.moe.edu.sg,11 Choa Chu Kang St 52   ,689285,67667675,na,67622075,na,DLSS@MOE.EDU.SG,YEW TEE MRT,"TIBS 302, 979",MADAM CHERYL CHOO SHUEH-LI,MISS CECILIA TAN LI HUA,MISS LIU JIAZHEN ADELINE,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
DEYI SECONDARY SCHOOL,http://www.deyisec.moe.edu.sg,1 ANG MO KIO STREET 42   ,569277,64561565,na,64583364,na,DEYI_SS@MOE.EDU.SG,ANG MO KIO MRT,"22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853",MR CHOW WEISI,MR APOLLOS INDUCHOODAN PILLAI,MISS CHIANG HUIMIN,na,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
DUNEARN SECONDARY SCHOOL,http://www.dunearnsec.moe.edu.sg,21 BUKIT BATOK WEST AVENUE 2   ,659204,65653692,na,65668650,na,DUNEARN_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",MADAM SOH BENG MUI,MR LEE KAH SIONG JIMMY,YAP KWEE CHYE,na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
DUNMAN HIGH SCHOOL,http://www.dunmanhigh.moe.edu.sg,10 TANJONG RHU ROAD   ,436895,63450533,na,63442316,na,DHS@MOE.EDU.SG,"KATONG PARK MRT,ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT,","12, 14, 30, 158, 196",MR CHAN YING YIN,MADAM LEONG SOOK HING,MR MELVIN NG YONG HUI,MR PUAH YOU KAI,MR ONG QIU JIE,na,na,KALLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL (S1-JC2),Yes,Yes,Yes,Yes,CHINESE,na,na
DUNMAN SECONDARY SCHOOL,http://www.dunmansec.moe.edu.sg,21 TAMPINES STREET 45   ,529093,67862668,na,67842164,na,DUNMAN_SS@MOE.EDU.SG,TAMPINES EAST MRT,"28, 29, 293",MR TOH THIAM CHYE,MR FATHUL RAHMAN BIN KAMSANI,MISS PRIYA PRASAD,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
EAST SPRING PRIMARY SCHOOL,http://www.eastspringpri.moe.edu.sg,31 TAMPINES ST 33   ,529258,67866192,na,67866649,na,ESPS@MOE.EDU.SG,Tampines,"291, 28,18",MADAM NEO LAY WAH,MADAM FAZILAH MARICAR D/O MD ALI M,MS NG HUI ENG,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
EAST SPRING SECONDARY SCHOOL,http://www.eastspringsec.moe.edu.sg,30 TAMPINES STREET 34   ,529231,65873805,na,65873804,na,ESSS@MOE.EDU.SG,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",MISS HO SUSIE,MR LIM PIA LEONG,MR KOH CHEE HUI,MR PHAY CHYE HOCK ADRIAN,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
EDGEFIELD PRIMARY SCHOOL,http://www.edgefieldpri.moe.edu.sg,41 EDGEFIELD PLAINS   ,828869,63126091,na,63126093,na,edgefield_ps@moe.edu.sg,Punggol MRT,"3, 34, 62, 82, 83, 136",MADAM RABIATHUL BAZRIYA D/O ABU BAKAR,MR YAP LIH MIN SAMUEL,MS TAN PEY SAN,TEH CHONG ANN,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
EDGEFIELD SECONDARY SCHOOL,http://www.edgefieldsec.moe.edu.sg,36 PUNGGOL FIELD   ,828814,68839511,na,63153120,na,edgefield_ss@moe.edu.sg,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",MR FOO JUNG HIN SIMON,MR BENSON TEO HONG GUAN (ZHANG HONGYUAN),MR HOW PUI SENG,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
ELIAS PARK PRIMARY SCHOOL,http://www.eliasparkpri.moe.edu.sg,11 PASIR RIS STREET 52   ,518866,65844393,na,65844392,na,EPPS@MOE.EDU.SG,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",MADAM CHUA PEI PEI,MR HO FU CHEW,PEH BEE KUAN,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
